identifier,translation,other-identifier,author-name,num-authors,author-gender,author-nationality,book-title,publ-first,publ-edition,publ-ref,publ-decade,publisher,collection,subgenre,type,ISBN,status,read,Bemerkungen,protagonists,narration,setting-type,setting-place,setting-time,translator(s),title-original,publ-original,Startkorpus,Duplikat prüfen
King_Femme,yes,,"King, Rufus",1,male,USA,La femme qui a tué,,1950,1950,1950s,Le Masque,Romans d'aventures,policier,populaire,2-7024-1480-X,tei,,Auf dem Buchumschlag steht: Dépôt légal Impr. 5325-5 èdit. 0296 10/1983. Wikipedia sagt: Erstpublikation der französischen Übersetzung 1950.,,,,,,"Le Houbie, Michel",Lethal lady,,,
Beckett_Malone,no,rv0180,"Beckett, Samuel",1,male,IRL,Malone meurt,1951,,1951,1950s,(unknown),(unknown),blanche,blanche,(unknown),tei,,,,,,,,,,,,
Beckett_Molloy,no,rv0182,"Beckett, Samuel",1,male,IRL,Molloy,1951,,1951,1950s,(unknown),(unknown),blanche,blanche,(unknown),tei,,,,,,,,,,,,
BoileauNarcejac_Ombre,no,rv1250,"Boileau, Pierre / Narcejac, Thomas",2,male,FRA,L'Ombre et la Proie,1951,,1951,1950s,(unknown),(unknown),policier,populaire,(unknown),tei,,,,,,,,,,,,1
Giono_Grands,no,rv0493,"Giono, Jean",1,male,FRA,Grands Chemins,1951,,1951,1950s,(unknown),(unknown),blanche,blanche,(unknown),tei,,,,,,,,,,,,
Giono_Hussard,no,rv0487,"Giono, Jean",1,male,FRA,Hussard Toit,1951,,1951,1950s,(unknown),(unknown),blanche,blanche,(unknown),tei,,,,,,,,,,,,
Simenon_Grande,no,rv0038,"Simenon, Georges",1,male,BEL,Maigret et la Grande Perche,1951,,1951,1950s,(unknown),(unknown),policier,populaire,(unknown),tei,,,,,,,,,,,,
Simenon_Picratts,no,rv0084,"Simenon, Georges",1,male,BEL,Maigret au Picratt's,1951,,1951,1950s,(unknown),(unknown),policier,populaire,(unknown),tei,,,,,,,,,,,,
Simenon_Temps,no,rv0051,"Simenon, Georges",1,male,BEL,Le Temps d'Anaïs,1951,,1951,1950s,(unknown),(unknown),blanche,blanche,(unknown),tei,,,,,,,,,,,,
Webb_Merci,yes,,"Webb, Anthony",1,male,GBR,"Merci, Monsieur Pendlebury",,1951,1951,1950s,Le Masque,Romans d'aventures,policier,populaire,(unknown),tei,no,,,,,,,,,,,
BoileauNarcejac_Celle,no,rv1259,"Boileau, Pierre / Narcejac, Thomas",2,male,FRA,Celle Qui n'était plus (Les Diaboliques),1952,,1952,1950s,(unknown),(unknown),policier,populaire,(unknown),tei,,,,,,,,,,,,
Dard_Hommages,no,rv1105,"Dard, Frédéric",1,male,FRA,Mes Hommages à la Donzelle,1952,,1952,1950s,(unknown),(unknown),policier,populaire,(unknown),tei,,,,,,,,,,,,
Duras_Marin,no,rv0219,"Duras, Marguerite",1,female,FRA,Le Marin de Gibraltar,1952,,1952,1950s,(unknown),(unknown),blanche,blanche,(unknown),tei,,"Teile und Kapitel; Kapitel ohne Überschriften, dh. ohne <head>-tags",,,,,,,,,,
Malet_Gang,no,rv1225,"Malet, Léo",1,male,FRA,Le Gang Mysterieux (suivi de Aux mains des réducteurs de têtes),1952,,1952,1950s,(unknown),(unknown),policier,populaire,(unknown),tei,,,,,,,,,,,,
Simenon_Belle,no,rv0008,"Simenon, Georges",1,male,BEL,La Mort de Belle,1952,,1952,1950s,(unknown),(unknown),policier,populaire,(unknown),tei,,Teile und Kapitel,,,,,,,,,,
Simenon_Lognon,no,rv0028,"Simenon, Georges",1,male,BEL,"Maigret, Lognon et les gangsters",1952,,1952,1950s,(unknown),(unknown),policier,populaire,(unknown),tei,,,,,,,,,,,,
Simenon_Marie,no,rv0087,"Simenon, Georges",1,male,BEL,Marie Qui Louche,1952,,1952,1950s,(unknown),(unknown),blanche,blanche,(unknown),tei,,Teile und Kapitel,,,,,,,,,,
Amos_Casa,yes,,"Amos, Alan",1,male,USA,La casa paraiso,,1953,1953,1950s,Le Masque,Romans d'aventures,policier,populaire,(unknown),tei,no,Scanfehler: S. 32 liegt auf S. 30,,,,,,,Panic in Paradise,,,
Beckett_Innommable,no,rv0179,"Beckett, Samuel",1,male,IRL,L'Innommable,1953,,1953,1950s,(unknown),(unknown),blanche,blanche,(unknown),tei,,,,,,,,,,,,
BoileauNarcejac_Visages,no,rv1258,"Boileau, Pierre / Narcejac, Thomas",2,male,FRA,Les Visages de l'Ombre,1953,,1953,1950s,(unknown),(unknown),policier,populaire,(unknown),tei,,,,,,,,,,,,
Dard_Clientes,no,rv1197,"Dard, Frédéric",1,male,FRA,Des Clientes pour la Morgue,1953,,1953,1950s,(unknown),(unknown),policier,populaire,(unknown),tei,,,,,,,,,,,,
Dard_Plomb,no,rv1193,"Dard, Frédéric",1,male,FRA,Du Plomb dans les Tripes,1953,,1953,1950s,(unknown),(unknown),policier,populaire,(unknown),tei,,Teile und Kapitel,,,,,,,,,,
Duras_Petits,no,rv0218,"Duras, Marguerite",1,female,FRA,Les Petits Chevaux de Tarquinia,1953,,1953,1950s,(unknown),(unknown),blanche,blanche,(unknown),tei,,,,,,,,,,,,
Oelrichs_Mort,yes,,"Oelrichs, Inès",1,female,USA,Mort d'une sorcière blanche,,1953,1953,1950s,Le Masque,Romans d'aventures,policier,populaire,(unknown) ,tei,,,,,,,,"Amalric, Isabelle",Dark Stream,1986,,
RobbeGrillet_Gommes,no,rv1281,"Robbe-Grillet, Alain",1,male,FRA,Les Gommes,1953,,1953,1950s,(unknown),(unknown),policier,populaire,(unknown),tei,,Teile und Kapitel,,,,,,,,,,
RobbeGrillet_Voyeur,no,rv0199,"Robbe-Grillet, Alain",1,male,FRA,Le Voyeur,1953,,1953,1950s,(unknown),(unknown),blanche,blanche,(unknown),tei,,,,,,,,,,,,
